elo_diff,goal_diff_avg,home_form,away_form,h2h_wins,is_knockout,squad_value_ratio,value_log_home,value_log_away,eafc_overall_diff,eafc_physic_diff,eafc_top5_avg_home,venue_altitude_m,is_high_altitude,altitude_penalty,titles_diff,semis_diff,appearances_diff,avg_age_diff,avg_caps_diff,travel_dist_diff,climate_compat_diff,synergy_diff,top5_ratio_diff,goals_scored_diff,clean_sheets_diff,xg_for_avg_home,xg_for_avg_away,xg_against_avg_home,xg_against_avg_away,xg_diff_avg_home,xg_diff_avg_away,xg_overperform_avg_home,xg_overperform_avg_away,xg_efficiency_avg_home,xg_efficiency_avg_away,xg_consistency_home,xg_consistency_away,odds_implied_home_win,odds_implied_away_win,odds_implied_draw,odds_market_confidence,odds_margin,target
0.0,0.0,0.5,0.5,0,0,5.0,9.041392685158225,8.342422680822207,7.5,6.0,89.0,0.0,0.0,0.0,2,7,-1,-0.6999999999999993,-1.0,7300.0,-0.29999999999999993,-0.24999999999999997,0.64,0.8,0.15000000000000002,2.804,1.7739999999999998,0.5599999999999999,1.399,2.244,0.375,0.296,-0.2739999999999999,1.0649770760444726,0.8012143853944391,0.2852756951130297,0.301485212462126,0.7185,0.215,0.05,0.6062,0.0885,1
0.0,0.0,0.5,0.5,0,0,0.7727272727272727,8.929418925714293,9.041392685158225,-0.5,-1.0,88.0,0.0,0.0,0.0,1,-1,2,1.3000000000000007,10.0,-1300.0,0.04999999999999993,-0.020000000000000004,-0.07000000000000006,0.10000000000000009,0.09999999999999998,2.884,2.804,0.95,0.5599999999999999,1.934,2.244,0.616,0.296,1.2457596956683417,1.0649770760444726,0.4170851232062826,0.2852756951130297,0.6331,0.2349,0.1742,0.6174,0.0833,1
0.0,0.0,0.5,0.5,0,0,0.22727272727272727,7.698970004336019,8.342422680822207,-7.0,-3.5,70.0,0.0,0.0,0.0,0,0,-16,-0.3999999999999986,-11.0,7500.0,-0.29999999999999993,-0.24999999999999997,0.12,0.09999999999999987,0.050000000000000044,0.0,1.7739999999999998,0.0,1.399,0.0,0.375,0.0,-0.2739999999999999,0.0,0.8012143853944391,0.0,0.301485212462126,0.4794,0.215,0.2886,0.8789,0.0804,1
0.0,0.0,0.5,0.5,0,0,0.045454545454545456,7.698970004336019,9.041392685158225,-14.5,-9.5,70.0,0.0,0.0,0.0,-2,-7,-15,0.3000000000000007,-10.0,200.0,0.0,0.0,-0.52,-0.7000000000000002,-0.09999999999999998,0.0,2.804,0.0,0.5599999999999999,0.0,2.244,0.0,0.296,0.0,1.0649770760444726,0.0,0.2852756951130297,0.4794,0.2349,0.2886,0.8789,0.0804,1
0.0,0.0,0.5,0.5,0,0,3.8636363636363638,8.929418925714293,8.342422680822207,7.0,5.0,88.0,0.0,0.0,0.0,3,6,1,0.6000000000000014,9.0,6000.0,-0.25,-0.26999999999999996,0.57,0.9000000000000001,0.25,2.884,1.7739999999999998,0.95,1.399,1.934,0.375,0.616,-0.2739999999999999,1.2457596956683417,0.8012143853944391,0.4170851232062826,0.301485212462126,0.6331,0.215,0.1742,0.6174,0.0833,1
0.0,0.0,0.5,0.5,0,0,0.5294117647058824,8.653212513775344,8.929418925714293,-4.0,0.5,84.0,0.0,0.0,0.0,-1,-1,-4,-1.5,-14.0,0.0,0.0,0.0,-0.19999999999999996,-0.5000000000000002,-0.09999999999999998,2.161,2.884,1.17,0.95,0.991,1.934,0.439,0.616,1.0807602735652382,1.2457596956683417,0.5795295026523193,0.4170851232062826,0.639,0.1927,0.189,0.6935,0.066,1
0.0,0.0,0.5,0.5,0,0,0.24,8.079181246047625,8.698970004336019,-6.0,-1.0,78.0,0.0,0.0,0.0,0,-2,-6,-1.3000000000000007,-15.0,-300.0,0.050000000000000044,0.020000000000000004,-0.35,-0.20000000000000018,-0.04999999999999999,1.6,2.002,1.705,1.323,-0.1049999999999999,0.6789999999999999,0.7,-0.1019999999999999,1.397464068315691,0.9431066534244954,0.4263279905841928,0.3376651859131732,0.0,0.205,0.0,0.0,0.0,1
0.0,0.0,0.5,0.5,0,0,2.65625,8.929418925714293,8.505149978319906,6.0,3.5,88.0,0.0,0.0,0.0,3,5,7,2.3999999999999986,19.0,5500.0,-0.20000000000000007,0.0,0.27,0.7000000000000002,0.19999999999999996,2.884,1.7120000000000002,0.95,1.179,1.934,0.5329999999999999,0.616,0.088,1.2457596956683417,1.1043395370402465,0.4170851232062826,0.3105121217887923,0.6331,0.2715,0.1742,0.6174,0.0833,1
0.0,0.0,0.5,0.5,0,0,0.64,8.505149978319906,8.698970004336019,-2.5,0.5,81.5,0.0,0.0,0.0,0,-1,-3,-2.6999999999999993,-14.0,-7300.0,0.30000000000000004,0.0,-0.17000000000000004,-0.10000000000000009,-0.04999999999999999,1.7120000000000002,2.002,1.179,1.323,0.5329999999999999,0.6789999999999999,0.088,-0.1019999999999999,1.1043395370402465,0.9431066534244954,0.3105121217887923,0.3376651859131732,0.5541,0.205,0.1745,0.6843,0.0671,1
0.0,0.0,0.5,0.5,0,0,20.0,9.0,7.698970004336019,13.5,7.0,87.5,0.0,0.0,0.0,5,11,21,0.3000000000000007,13.0,-2500.0,0.09999999999999998,-0.04000000000000001,0.41999999999999993,0.5,0.09999999999999998,2.451,0.0,0.825,0.0,1.626,0.0,0.349,0.0,1.1980330911358643,0.0,0.3834478089938996,0.0,0.6748,0.0,0.1307,0.8196,0.0699,1
